City,Market Score,Annual Revenue,Occupancy Rate,Average Daily Rate,Seasonality,Rank
La Garenne Colombes,77,7400,47.0,159.1,79,127
Melun,84,6900,45.0,95.6,78,128
Voulx,74,26700,44.0,289.8,0,129
Choisy Le Roi,84,5800,44.0,113.6,80,130
Neuilly Sur Marne,80,6800,43.0,130.4,86,131
Bagneux,76,10600,50.0,171.9,57,132
Aubervilliers,78,6700,48.0,146.2,75,133
Gif Sur Yvette,90,8200,50.0,215.9,12,134
Epone,98,6500,50.0,116.5,14,135
Creteil,77,6000,47.0,130.0,81,136
Hermeray,80,16500,42.0,328.8,6,137
Osny,84,6000,48.0,90.1,65,138
Parmain,71,21100,37.0,444.1,3,139
Colombes,73,5800,46.0,213.8,76,140
Saint Maurice,83,7100,47.0,166.8,49,141
Drancy,83,5200,41.0,131.5,78,142
Saint Cloud,70,7600,47.0,256.8,66,143
Neuilly Plaisance,75,7900,50.0,151.0,64,144
Louvres,85,7400,49.0,104.4,48,145
Voulangis,84,15500,50.0,119.5,17,146
Courgent,25,24500,36.0,929.8,23,147
Souppes Sur Loing,92,14500,30.0,174.1,34,148
Rueil Malmaison,72,7100,47.0,206.9,67,149
Varennes Sur Seine,92,8900,42.0,119.2,31,150
Ville D Avray,63,9100,54.0,234.0,61,151
Corbeil Essonnes,81,4500,39.0,103.3,88,152
Sevran,84,5300,37.0,137.2,74,153
Magny Le Hongre,65,16500,49.0,188.2,50,154
Mere,90,6800,41.0,163.9,35,155
Montlhery,84,3600,42.0,82.8,77,156
Provins,82,10100,38.0,124.9,61,157
Meaux,77,6400,41.0,105.4,85,158
Chilly Mazarin,79,4700,40.0,106.3,87,159
Magny En Vexin,80,15400,49.0,157.0,13,160
Villiers Sur Marne,79,6900,46.0,143.5,55,161
Moussy Le Neuf,72,11900,58.0,159.6,23,162
Saints,67,21600,46.0,197.8,26,163
Septeuil,85,6500,47.0,300.7,0,164
Poligny,66,12500,48.0,196.6,54,165
Limeil Brevannes,80,5600,47.0,115.8,56,166
Mormant,84,4800,43.0,80.4,64,167
Alfortville,69,6700,48.0,142.4,75,168
Othis,62,7500,42.0,246.2,86,169
Dammarie Les Lys,78,4800,41.0,86.0,84,170
Sannois,79,5800,42.0,176.3,56,171
Le Blanc Mesnil,74,6000,39.0,143.5,84,172
Noisy Sur Ecole,70,13900,50.0,141.5,41,173
Grez Sur Loing,66,12700,44.0,425.5,12,174
Saint Fargeau Ponthierry,65,13100,38.0,194.6,77,175
Arbonne La Foret,67,18000,54.0,158.3,20,176
Bievres,76,11100,45.0,219.0,27,177
Limetz Villez,75,13900,50.0,176.9,16,178
L Hay Les Roses,70,6100,48.0,149.9,68,179
Barbizon,54,26900,40.0,313.5,28,180
Pontoise,79,5200,44.0,110.7,62,181
Samoreau,82,7700,50.0,121.8,27,182
Juvisy Sur Orge,66,6300,48.0,128.5,82,183
Nerville La Foret,92,4700,34.0,123.7,47,184
Chartrettes,82,10100,43.0,161.4,27,185
Le Vesinet,66,8700,47.0,339.3,30,186
Fresnes,72,5100,49.0,109.1,68,187
La Courneuve,69,6200,45.0,128.3,79,188
Bonnelles,65,21200,48.0,266.1,2,189
Enghien Les Bains,71,6500,43.0,168.0,67,190
Mitry Mory,69,7000,47.0,119.5,71,191
Beynes,65,11800,59.0,221.6,14,192
Bobigny,73,4900,40.0,108.0,86,193
Bondoufle,92,4400,42.0,129.9,22,194
Epinay Sur Orge,66,5600,49.0,117.4,79,195
