City,Market Score,Annual Revenue,Occupancy Rate,Average Daily Rate,Seasonality,Rank
Gommecourt,17,10200,31.0,185.6,14,547
Ablon Sur Seine,18,3100,41.0,83.3,32,548
Saint Ouen L Aumone,16,4800,40.0,109.2,29,549
Conde Sainte Libiaire,5,10700,42.0,195.6,16,550
Evecquemont,6,8500,35.0,350.7,5,551
Chambourcy,10,4100,45.0,226.8,9,552
Combs La Ville,13,3300,43.0,102.0,34,553
Montfermeil,15,4800,35.0,130.0,37,554
Aubergenville,15,2400,34.0,108.6,50,555
Faremoutiers,15,6500,40.0,125.6,16,556
Presles En Brie,7,11800,35.0,268.6,3,557
Villiers Le Bacle,12,13300,31.0,228.5,1,558
Grisy Suisnes,0,11500,37.0,324.0,7,559
Chatres,19,6600,36.0,127.3,12,560
Maisse,7,16700,29.0,223.5,8,561
Beauchamp,9,3000,52.0,97.3,18,562
La Ville Du Bois,13,6600,38.0,142.9,19,563
Igny,8,5100,45.0,223.0,4,564
Saacy Sur Marne,21,4400,40.0,112.4,4,565
Jossigny,6,6700,44.0,116.7,29,566
Valenton,16,3900,39.0,98.6,25,567
Meriel,7,3700,52.0,155.9,7,568
Maffliers,5,10800,37.0,274.0,1,569
Fontaine Le Port,0,9300,51.0,117.3,17,570
Rosny Sur Seine,19,4900,37.0,86.8,18,571
Vulaines Sur Seine,6,8800,43.0,182.4,5,572
Presles,9,7800,35.0,91.3,38,573
Courdimanche,10,4600,44.0,130.6,14,574
Montmorency,3,5500,38.0,246.6,21,575
Ris Orangis,6,6200,45.0,137.2,15,576
Orgerus,8,8900,37.0,218.2,2,577
Saint Witz,11,5800,34.0,168.0,22,578
Villeconin,0,15100,36.0,231.7,3,579
Etrechy,5,6900,48.0,143.7,5,580
Clichy Sous Bois,11,6300,37.0,137.1,18,581
Toussus Le Noble,0,8900,43.0,246.7,3,582
Briis Sous Forges,12,5400,43.0,143.7,1,583
Mandres Les Roses,12,7000,35.0,207.3,2,584
Saint Brice Sous Foret,3,8400,37.0,283.2,2,585
Le Val Saint Germain,10,6600,29.0,310.6,1,586
Beaumont Sur Oise,12,4400,36.0,134.0,21,587
Bonnieres Sur Seine,10,4700,37.0,130.6,22,588
Varennes Jarcy,4,12100,37.0,140.3,11,589
Ecquevilly,8,4800,44.0,124.7,10,590
Morainvilliers,1,5000,40.0,308.3,1,591
Saint Germain De La Grange,0,6200,39.0,179.6,29,592
Saintry Sur Seine,13,4900,33.0,141.3,18,593
Jouy Le Moutier,16,4400,37.0,133.8,2,594
Vaujours,6,5100,43.0,133.0,12,595
Levis Saint Nom,2,4400,46.0,186.9,7,596
Ballainvilliers,5,4600,46.0,136.1,8,597
Cesson,3,5200,52.0,96.8,5,598
Chenou,3,15300,24.0,268.7,1,599
Sainte Genevieve Les Gasny,20,2700,35.0,79.2,7,600
Saint Cyr Sur Morin,1,7900,37.0,213.8,11,601
Treuzy Levelay,4,15200,21.0,283.2,2,602
Pierrelaye,10,4800,36.0,193.2,1,603
Hardricourt,0,6600,40.0,243.8,3,604
Villevaude,3,10000,32.0,234.8,4,605
Hargeville,4,7000,33.0,249.1,5,606
Saint Jean Les Deux Jumeaux,13,5400,32.0,169.7,3,607
Vetheuil,8,7000,30.0,222.7,4,608
Villeneuve Sur Bellot,26,2600,17.0,212.3,1,609
Bouafle,2,5300,38.0,216.9,7,610
Saint Germain Les Arpajon,5,5000,39.0,175.1,2,611
Villiers Saint Frederic,3,3200,40.0,210.6,3,612
Grigny,15,3100,33.0,90.2,11,613
Seine Port,2,7400,35.0,213.9,3,614
Nargis,2,10400,26.0,281.0,1,615
Andilly,0,2100,47.0,194.6,0,616
Boissy Le Chatel,2,5400,41.0,152.3,4,617
Villeron,5,5500,39.0,125.2,3,618
Vernouillet,3,4100,38.0,169.0,7,619
Montsoult,1,3900,42.0,158.7,5,620
Fleury Merogis,12,2600,37.0,82.3,5,621
Jouy Sur Morin,1,6600,37.0,163.4,5,622
Puiseux En France,1,2600,42.0,157.6,7,623
Boussy Saint Antoine,3,3400,42.0,110.8,8,624
Angerville,8,5400,30.0,171.4,3,625
Juziers,5,2600,30.0,99.1,36,626
Saint Loup De Naud,10,7800,19.0,183.4,13,627
Bessancourt,1,3100,38.0,194.6,5,628
Marolles En Brie,0,3600,33.0,240.5,8,629
Bagneaux Sur Loing,10,7000,29.0,105.0,5,630
Lizy Sur Ourcq,10,3000,30.0,115.2,12,631
Survilliers,3,5500,28.0,168.5,15,632
Vert Le Petit,0,3500,47.0,86.4,0,633
Ablis,2,6200,40.0,82.1,2,634
Crosne,1,3900,40.0,119.2,5,635
Saint Pathus,5,3200,36.0,122.1,3,636
Quincy Sous Senart,4,2000,41.0,74.9,7,637
Le Perray En Yvelines,0,4100,36.0,165.8,3,638
Santeny,4,3900,28.0,192.8,6,639
Boissy Sans Avoir,12,3100,25.0,137.4,4,640
Boutigny Sur Essonne,1,4000,38.0,99.3,6,641
Nangis,1,2500,35.0,80.6,22,642
Bray Sur Seine,7,6300,26.0,120.7,3,643
Porcheville,6,1500,33.0,119.5,5,644
Egly,1,3600,33.0,110.6,14,645
Epinay Sous Senart,2,2700,33.0,104.5,11,646
Bonneuil En France,6,3700,19.0,216.1,3,647
Limay,4,2500,30.0,87.1,9,648
Nandy,5,2200,24.0,102.4,8,649
Sancy,0,2100,14.0,123.2,0,650
